# Ludwieg and Tillman Strong Adverse Pressure Gradient
IDENT = 1200
V = 0.150000

# Summary data
# X     UI      DUI   THETA    H      HS      G       CF     CFLT      CFE     BETA
 636.7  20.39   2.500  0.3520  0.0065  37.54
 764.0  21.03   3.000  0.3630  0.0077  36.90
1018.7  22.88   4.000  0.3950  0.0103  35.05
1273.4  25.26   5.000  0.4360  0.0129  32.67
1528.1  27.92   6.000  0.4820  0.0155  30.01
1782.7  30.53   7.000  0.5270  0.0181  27.40
2037.4  33.31   8.000  0.5750  0.0207  24.62
2292.1  36.26   9.000  0.6260  0.0232  21.67
2546.8  39.16  10.000  0.6760  0.0258  18.77
2801.4  42.12  11.000  0.7270  0.0284  15.81
3056.1  44.78  12.000  0.7730  0.0310  13.15
3310.8  47.11  13.000  0.8190  0.0336  10.49
3565.5  50.17  14.000  0.8660  0.0362   7.76
3820.1  52.60  15.000  0.9080  0.0387   5.33
4074.8  54.45  16.000  0.9400  0.0413   3.48
4329.5  55.84  17.000  0.9640  0.0439   2.09
4584.2  56.83  18.000  0.9810  0.0465   1.10
4838.8  57.52  19.000  0.9930  0.0491   0.41
5093.5  57.84  20.000  0.9985  0.0516   0.09
5348.2  57.93  21.000  1.0000  0.0542   0.
